,from_person,to_person,timestamp,connection_id,forward
13857,A00887,A00093,2024-08-30 12:28:18.587,A00887_A00093,False
13858,A00093,A00168,2024-08-30 12:28:24.204,A00093_A00168,True
13859,A00168,A00093,2024-08-30 12:28:24.204,A00168_A00093,False
13860,A01205,A01512,2024-08-30 12:28:33.043,A01205_A01512,True
13861,A01512,A01205,2024-08-30 12:28:33.043,A01512_A01205,False
13862,A03973,A02855,2024-08-30 13:04:21.451,A03973_A02855,True
13863,A02855,A03973,2024-08-30 13:04:21.451,A02855_A03973,False
13864,A00108,A02855,2024-08-30 13:04:23.848,A00108_A02855,True
13865,A02855,A00108,2024-08-30 13:04:23.848,A02855_A00108,False
13866,A02734,A00331,2024-08-30 13:04:34.003,A02734_A00331,True
13867,A00331,A02734,2024-08-30 13:04:34.003,A00331_A02734,False
13868,A00838,A02256,2024-08-30 13:04:42.023,A00838_A02256,True
13869,A02256,A00838,2024-08-30 13:04:42.023,A02256_A00838,False
13870,A01980,A00839,2024-08-30 13:04:58.295,A01980_A00839,True
13871,A00839,A01980,2024-08-30 13:04:58.295,A00839_A01980,False
13872,A00898,A00564,2024-08-30 13:05:25.723,A00898_A00564,True
13873,A00564,A00898,2024-08-30 13:05:25.723,A00564_A00898,False
13874,A00093,A03185,2024-08-30 13:05:46.754,A00093_A03185,True
13875,A03185,A00093,2024-08-30 13:05:46.754,A03185_A00093,False
13876,A02812,A00898,2024-08-30 13:06:40.131,A02812_A00898,True
13877,A00898,A02812,2024-08-30 13:06:40.131,A00898_A02812,False
13878,A02464,A02330,2024-08-30 13:06:42.743,A02464_A02330,True
13879,A02330,A02464,2024-08-30 13:06:42.743,A02330_A02464,False
13880,A02993,A01369,2024-08-30 13:07:00.748,A02993_A01369,True
13881,A01369,A02993,2024-08-30 13:07:00.748,A01369_A02993,False
13882,A03000,A01369,2024-08-30 13:07:04.060,A03000_A01369,True
13883,A01369,A03000,2024-08-30 13:07:04.060,A01369_A03000,False
13884,A02993,A02670,2024-08-30 13:07:32.727,A02993_A02670,True
13885,A02670,A02993,2024-08-30 13:07:32.727,A02670_A02993,False
13886,A02993,A02670,2024-08-30 13:07:32.740,A02993_A02670,True
13887,A02670,A02993,2024-08-30 13:07:32.740,A02670_A02993,False
13888,A03000,A02670,2024-08-30 13:07:37.842,A03000_A02670,True
13889,A02670,A03000,2024-08-30 13:07:37.842,A02670_A03000,False
13890,A00605,A01298,2024-08-30 13:08:04.793,A00605_A01298,True
13891,A01298,A00605,2024-08-30 13:08:04.793,A01298_A00605,False
13892,A00548,A00414,2024-08-30 13:08:18.646,A00548_A00414,True
13893,A00414,A00548,2024-08-30 13:08:18.646,A00414_A00548,False
13894,A00037,A01640,2024-08-30 13:08:48.820,A00037_A01640,True
13895,A01640,A00037,2024-08-30 13:08:48.820,A01640_A00037,False
13896,A02206,A01926,2024-08-30 13:08:51.332,A02206_A01926,True
13897,A01926,A02206,2024-08-30 13:08:51.332,A01926_A02206,False
13898,A03128,A00564,2024-08-30 13:09:14.263,A03128_A00564,True
